Year,Sort order,Country,Notes,Code,Type of data (a),Immigrants
1995,1995042,Gabon,,266,C,152972
1995,1995043,Sao Tome and Principe,,678,C,4936
1995,1995044,Northern Africa,,912,,2081640
1995,1995045,Algeria,,12,B R,262032
1995,1995046,Egypt,,818,B R,166955
1995,1995047,Libya,,434,C,508041
1995,1995048,Morocco,,504,C,50360
1995,1995049,Sudan,3,729,B R,1053396
1995,1995050,Tunisia,,788,C,37867
1995,1995051,Western Sahara,,732,I,2989
1995,1995052,Southern Africa,,913,,1191582
1995,1995053,Botswana,,72,C,40168
1995,1995054,Lesotho,,426,C R,7204
1995,1995055,Namibia,,516,B,115372
1995,1995056,South Africa,,710,B R,1003807
1995,1995057,Swaziland,,748,B R,25031
1995,1995058,Western Africa,,914,,5410742
1995,1995059,Benin,,204,C B R,104971
1995,1995060,Burkina Faso,,854,B R,434848
1995,1995061,Cape Verde,,132,B,9979
1995,1995062,Ivory Coast,,384,C B,2076394
1995,1995063,Gambia,,270,B,150890
1995,1995064,Ghana,,288,B,252879
1995,1995065,Guinea,,324,C R,774505
1995,1995066,Guinea-Bissau,,624,B R,27961
1995,1995067,Liberia,,430,B,208563
1995,1995068,Mali,,466,B R,176187
1995,1995069,Mauritania,,478,C R,89562
1995,1995070,Niger,,562,B R,145999
1995,1995071,Nigeria,,566,C R,462999
1995,1995072,St. Helena,4,654,B,394
1995,1995073,Senegal,,686,B R,287654
1995,1995074,Sierra Leone,,694,B R,105374
1995,1995075,Togo,,768,C R,101583
1995,1995076,ASIA,,935,,46422010
1995,1995077,Central Asia,,5500,,5890035
1995,1995078,Kazakhstan,,398,B,3245250
1995,1995079,Kyrgyzstan,,417,B,510296
1995,1995080,Tajikistan,,762,B,348347
1995,1995081,Turkmenistan,,795,B,273565
1995,1995082,Uzbekistan,,860,B,1512577
1995,1995083,Eastern Asia,,906,,4658475
1995,1995084,China,5,156,C,442198
1995,1995085,Hong Kong,6,344,B,2443798
1995,1995086,Macao,7,446,B,224929
1995,1995087,North Korea,,408,I,35143
1995,1995088,Japan,,392,C,1381097
1995,1995089,Mongolia,,496,C,7424
1995,1995090,South Korea,,410,C,123886
1995,1995091,Southern Asia,,5501,,15343019
1995,1995092,Afghanistan,,4,B,71522
1995,1995093,Bangladesh,,50,B R,934735
1995,1995094,Bhutan,,64,B,27972
1995,1995095,India,,356,B R,6952238
1995,1995096,Iran,,364,B R,2937668
1995,1995097,Maldives,,462,C,18510
1995,1995098,Nepal,,524,B R,690225
1995,1995099,Pakistan,,586,B R,3669308
1995,1995100,Sri Lanka,,144,B R,40841
1995,1995101,South-Eastern Asia,,920,,3700057
1995,1995102,Brunei,,96,B,84748
1995,1995103,Cambodia,,116,B,92230
1995,1995104,Indonesia,,360,B R,378960
1995,1995105,Laos,,418,C R,23526
1995,1995106,Malaysia,8,458,C R,937368
1995,1995107,Myanmar,,104,C,113663
1995,1995108,Philippines,,608,C R,207345
1995,1995109,Singapore,,702,B,991492
1995,1995110,Thailand,,764,B R,809720
1995,1995111,Timor-Leste,,626,B,9743
1995,1995112,Vietnam,,704,C R,51262
1995,1995113,Western Asia,,922,,16830424
1995,1995114,Armenia,,51,B R,693999
1995,1995115,Azerbaijan,9,31,B R,344070
1995,1995116,Bahrain,,48,C,205979
1995,1995117,Cyprus,10,196,B,61941
1995,1995118,Georgia,11,268,B,152235
1995,1995119,Iraq,,368,C R,199460
1995,1995120,Israel,,376,B R,1792185
1995,1995121,Jordan,,400,C R,1537097
1995,1995122,Kuwait,,414,C R,921954
1995,1995123,Lebanon,,422,B R,608303
1995,1995124,Oman,,512,C,539643
1995,1995125,Qatar,,634,C,361673
1995,1995126,Saudi Arabia,,682,C R,5122702
1995,1995127,West Bank and Gaza Strip,12,275,B,281767
1995,1995128,Syria,,760,C R,830610
1995,1995129,Turkey,,792,B R,1216173
1995,1995130,United Arab Emirates,,784,C R,1824118
1995,1995131,Yemen,,887,CR,136515
1995,1995132,EUROPE,,908,,52867154
1995,1995133,Eastern Europe,,923,,21344124
1995,1995134,Belarus,,112,B,1186282
1995,1995135,Bulgaria,,100,B,32435
1995,1995136,Czechia,,203,C,165592
1995,1995137,Hungary,,348,B R,322234
1995,1995138,Poland,,616,B,964725
1995,1995139,Moldova,13,498,B,367231
1995,1995140,Romania,,642,B,135037
1995,1995141,Russia,,643,B,11928927
1995,1995142,Slovakia,,703,B,69323
1995,1995143,Ukraine,14,804,B,6172338
1995,1995144,Northern Europe,,924,,7194824
1995,1995145,Channel Islands,15,830,B,60519
1995,1995146,Denmark,,208,B,303108
1995,1995147,Estonia,,233,B,315755
1995,1995148,Faeroe Islands,,234,B,2900
1995,1995149,Finland,16,246,B,99729
1995,1995150,Iceland,,352,B,12738
1995,1995151,Ireland,,372,B,226892
1995,1995152,Isle of Man,,833,B,36886
1995,1995153,Latvia,,428,B,538093
1995,1995154,Lithuania,,440,B,273587
1995,1995155,Norway,17,578,B,233302
1995,1995156,Sweden,,752,B,936022
1995,1995157,United Kingdom,,826,B,4155293
1995,1995158,Southern Europe,,925,,5985675
1995,1995159,Albania,,8,B,71354
1995,1995160,Andorra,,20,C,40525
1995,1995161,Bosnia-Herzegovina,,70,I R,69476
1995,1995162,Croatia,,191,B R,674085
1995,1995163,Gibraltar,,292,B,8381
1995,1995164,Greece,,300,B,857850
1995,1995165,Holy See,18,336,I,780
1995,1995166,Italy,,380,B,1774953
1995,1995167,Malta,,470,B,17740
1995,1995168,Montenegro,,499,B,..
1995,1995169,Portugal,,620,B,532822
1995,1995170,San Marino,,674,C,3659
1995,1995171,Serbia,19,688,B,630221
1995,1995172,Slovenia,,705,B,174419
1995,1995173,Spain,20,724,B,1020067
1995,1995174,Macedonia,21,807,B,109343
1995,1995175,Western Europe,,926,,18342531
1995,1995176,Austria,,40,B,894893
1995,1995177,Belgium,,56,C,909769
1995,1995178,France,,250,B,6087993
1995,1995179,Germany,,276,B,7464406
1995,1995180,Liechtenstein,,438,B,13311
1995,1995181,Luxembourg,,442,B,126106
1995,1995182,Monaco,,492,B,21060
1995,1995183,Netherlands,,528,B,1346164
1995,1995184,Switzerland,,756,B,1478829
1995,1995185,LATIN AMERICA AND THE CARIBBEAN,,904,,6694640
1995,1995186,Caribbean,,915,,1154700
1995,1995187,Anguilla,,660,B,3317
1995,1995188,Antigua and Barbuda,,28,B,17550
1995,1995189,Aruba,,533,B,22274
1995,1995190,Bahamas,,44,B,31654
1995,1995191,Barbados,,52,B,26224
1995,1995192,British Virgin Islands,,92,B,10046
1995,1995193,Caribbean Netherlands,22,535,B,42258
1995,1995194,Cayman Islands,,136,C,14320
1995,1995195,Cuba,,192,B,26187
1995,1995196,Curaçao,,531,B,..
1995,1995197,Dominica,,212,B,3121
1995,1995198,Dominican Republic,,214,B,323381
1995,1995199,Grenada,,308,B,5544
1995,1995200,Guadeloupe,23,312,B,74566
1995,1995201,Haiti,,332,B,22458
1995,1995202,Jamaica,,388,B,22713
1995,1995203,Martinique,,474,B,46599
1995,1995204,Montserrat,,500,B,1612
1995,1995205,Puerto Rico,,630,B,338067
1995,1995206,St. Kitts and Nevis,,659,B,4248
1995,1995207,St. Lucia,,662,B,7152
1995,1995208,St. Vincent and the Grenadines,,670,B,4135
1995,1995209,St. Martin,,534,B,..
1995,1995210,Trinidad and Tobago,,780,B,45994
1995,1995211,Turks and Caicos Islands,,796,B,7039
1995,1995212,Virgin Islands (U.S.),,850,B,54241
1995,1995213,Central America,,916,,1298916
1995,1995214,Belize,,84,B R ,33446
1995,1995215,Costa Rica,,188,B R,364287
1995,1995216,El Salvador,,222,B R,39537
1995,1995217,Guatemala,,320,B R,156188
1995,1995218,Honduras,,340,B R,149442
1995,1995219,Mexico,,484,B R,458549
1995,1995220,Nicaragua,,558,B R,26619
1995,1995221,Panama,,591,B,70848
1995,1995222,South America,,931,,4241024
1995,1995223,Argentina,,32,B,1595069
1995,1995224,Bolivia,,68,B,83598
1995,1995225,Brazil,,76,B,741557
1995,1995226,Chile,,152,B,142417
1995,1995227,Colombia,,170,B,106943
1995,1995228,Ecuador,,218,B R,115093
1995,1995229,Falkland Islands (Malvinas),,238,B,868
1995,1995230,French Guiana,,254,B,70131
1995,1995231,Guyana,,328,B,6352
1995,1995232,Paraguay,,600,B,186570
1995,1995233,Peru,,604,B,56732
1995,1995234,Suriname,,740,C,22270
1995,1995235,Uruguay,,858,B,93428
1995,1995236,Venezuela,,862,B,1019996
1995,1995237,NORTHERN AMERICA,,905,,33341147
1995,1995238,Bermuda,,60,B,16676
1995,1995239,Canada,,124,B,4864778
1995,1995240,Greenland,,304,B,7320
1995,1995241,St. Pierre and Miquelon,,666,B,1320
1995,1995242,United States,,840,B,28451053
1995,1995243,OCEANIA,,909,,5022263
1995,1995244,Australia/New Zealand,,927,,4741947
1995,1995245,Australia,24,36,B,4153330
1995,1995246,New Zealand,,554,B,588617
1995,1995247,Melanesia,,928,,96828
1995,1995248,Fiji,,242,B,13001
1995,1995249,New Caledonia,,540,B,43662
1995,1995250,Papua New Guinea,,598,C R,33526
1995,1995251,Solomon Islands,,90,B,4178
1995,1995252,Vanuatu,,548,B,2461
1995,1995253,Micronesia,,954,,118687
1995,1995254,Guam,,316,B,71912
1995,1995255,Kiribati,,296,B,2223
1995,1995256,Marshall Islands,,584,B,1480
1995,1995257,Micronesia,,583,B,3342
1995,1995258,Nauru,,520,C,2605
1995,1995259,Northern Mariana Islands,,580,B,32376
1995,1995260,Palau,,585,B,4749
1995,1995261,Polynesia,25,957,,64801
1995,1995262,American Samoa,,16,B,23098
1995,1995263,Cook Islands,,184,B,2686
1995,1995264,French Polynesia,,258,B,28360
1995,1995265,Niue,,570,B,480
1995,1995266,Samoa,,882,B,4694
1995,1995267,Tokelau,,772,B,266
1995,1995268,Tonga,,776,B,3274
1995,1995269,Tuvalu,,798,C,263
1995,1995270,Wallis and Futuna Islands,,876,B,1680
2000,2000001,WORLD,,900,,172604257
2000,2000002,More developed regions,b,901,,103417894
2000,2000003,Less developed regions,c,902,,69186363
2000,2000004,Least developed countries,d,941,,10073307
2000,2000005,"Less developed regions, excluding least developed countries",,934,,59113056
2000,2000006,High-income countries,e,1503,,100404811
2000,2000007,Middle-income countries,e,1517,,64042290
2000,2000008,Upper-middle-income countries,e,1502,,33846189
2000,2000009,Lower-middle-income countries,e,1501,,30196101
2000,2000010,Low-income countries,e,1500,,7732730
2000,2000011,Sub-Saharan Africa,f,947,,13716539
2000,2000012,AFRICA,,903,,14800306
2000,2000013,Eastern Africa,,910,,4844795
2000,2000014,Burundi,,108,B R,125628
2000,2000015,Comoros,,174,B,13799
2000,2000016,Djibouti,,262,B R,100507
2000,2000017,Eritrea,,232,I,12952
2000,2000018,Ethiopia,,231,B R,611384
2000,2000019,Kenya,,404,B R,699139
2000,2000020,Madagascar,,450,C,23541
2000,2000021,Malawi,,454,B R,232620
2000,2000022,Mauritius,1,480,C,15543
2000,2000023,Mayotte,,175,B,45474
2000,2000024,Mozambique,,508,B R,195702
2000,2000025,Réunion,,638,B,100678
2000,2000026,Rwanda,,646,B R,347076
2000,2000027,Seychelles,,690,B,6574
2000,2000028,Somalia,,706,I R,20087
2000,2000029,South Sudan,,728,B R,..
2000,2000030,Uganda,,800,B R,634703
2000,2000031,Tanzania,2,834,B R,928180
2000,2000032,Zambia,,894,B R,321167
2000,2000033,Zimbabwe,,716,B R,410041
2000,2000034,Middle Africa,,911,,1756687
2000,2000035,Angola,,24,B R,46108
2000,2000036,Cameroon,,120,B C,228383
2000,2000037,Central African Republic,,140,C,123529
2000,2000038,Chad,,148,B R,104825
2000,2000039,Republic of the Congo,,178,B,305002
2000,2000040,Democratic Republic of the Congo,,180,B R,744387
2000,2000041,Equatorial Guinea,,226,C,4517
2000,2000042,Gabon,,266,C,195571
2000,2000043,Sao Tome and Principe,,678,C,4365
2000,2000044,Northern Africa,,912,,1885650
2000,2000045,Algeria,,12,B R,250110
2000,2000046,Egypt,,818,B R,173452
2000,2000047,Libya,,434,C,567436
2000,2000048,Morocco,,504,C,53034
2000,2000049,Sudan,3,729,B R,801883
2000,2000050,Tunisia,,788,C,36446
2000,2000051,Western Sahara,,732,I,3289
2000,2000052,Southern Africa,,913,,1222314
2000,2000053,Botswana,,72,C,57064
2000,2000054,Lesotho,,426,C R,6167
2000,2000055,Namibia,,516,B,134403
2000,2000056,South Africa,,710,B R,1001825
2000,2000057,Swaziland,,748,B R,22855
2000,2000058,Western Africa,,914,,5090860
2000,2000059,Benin,,204,C B R,133730
2000,2000060,Burkina Faso,,854,B R,520039
2000,2000061,Cape Verde,,132,B,11027
2000,2000062,Ivory Coast,,384,C B,1994135
2000,2000063,Gambia,,270,B,182514
2000,2000064,Ghana,,288,B,191601
2000,2000065,Guinea,,324,C R,560075
2000,2000066,Guinea-Bissau,,624,B R,20450
2000,2000067,Liberia,,430,B,151868
2000,2000068,Mali,,466,B R,189475
2000,2000069,Mauritania,,478,C R,57366
2000,2000070,Niger,,562,B R,122260
