Country,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.24243902,77.51463415,77.80609756,78.08536585,78.35,78.41707317,78.89609756,79.0795122,79.32439024,79.5804878,79.6804878,80.1804878,80.38536585,80.53658537,81.08780488,81.23658537,81.4902439,81.74146341,81.99268293,82.04390244,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,83.19756098,,
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.4182439,75.63692683,75.84968293,76.053,76.24739024,76.43685366,76.62787805,76.827,77.03965854,77.26834146,77.514,77.77663415,78.05168293,78.33317073,78.61609756,78.894,79.16192683,79.41541463,79.6524878,79.87114634,80.07134146,80.25302439,80.42212195,80.58112195,80.735,80.88526829,,
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.54378049,73.90346341,74.25341463,74.59065854,74.91473171,75.22765854,75.5314878,75.82529268,76.11014634,76.38509756,76.64470732,76.88702439,77.10802439,77.30768293,77.487,77.64743902,77.79095122,77.923,78.05002439,78.1765122,78.30892683,78.4527561,78.60953659,78.78026829,78.9644878,79.16068293,,
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.3214878,69.47307317,69.62912195,69.79821951,69.98695122,70.21046341,70.48139024,70.80026829,71.16407317,71.5662439,71.99558537,72.43690244,72.873,73.28773171,73.67207317,74.01756098,74.32282927,74.59407317,74.83992683,75.06343902,75.26609756,75.45382927,75.62804878,75.79517073,75.95719512,76.11709756,,
Ivory Coast,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.60692683,52.23273171,51.71160976,51.0675122,50.33609756,49.56065854,48.7902439,48.07504878,47.46402439,46.99256098,46.69743902,46.59731707,46.67253659,46.8942439,47.24458537,47.69641463,48.21882927,48.78029268,49.35146341,49.91136585,50.45070732,50.97234146,51.49017073,52.01604878,52.54707317,53.0782439,,
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.18385366,51.81087805,51.36763415,50.88802439,50.41192683,49.99326829,49.68539024,49.51921951,49.51373171,49.67490244,49.99973171,50.46782927,51.0317561,51.64409756,52.27387805,52.889,53.46787805,54.00790244,54.51063415,54.97263415,55.40114634,55.80892683,56.21768293,56.64197561,57.08780488,57.5575122,,
Democratic Republic of the Congo,COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.99297561,49.17492683,49.26141463,49.25341463,49.17241463,49.06592683,48.99695122,49.02446341,49.19243902,49.51741463,50.00287805,50.62934146,51.34680488,52.10678049,52.87926829,53.63729268,54.36334146,55.05392683,55.70602439,56.31260976,56.87017073,57.38117073,57.85807317,58.31239024,58.74860976,59.17321951,,
Republic of the Congo,COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.93231707,55.49946341,54.9865122,54.41741463,53.82207317,53.22690244,52.65726829,52.14402439,51.72902439,51.45314634,51.37734146,51.55653659,51.99678049,52.68217073,53.58673171,54.6655122,55.86007317,57.09446341,58.30080488,59.43214634,60.45260976,61.3502439,62.14907317,62.87009756,63.51531707,64.09073171,,
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.29719512,68.45131707,68.64021951,68.86563415,69.12958537,69.42692683,69.74836585,70.075,70.39495122,70.70056098,70.98870732,71.26039024,71.52173171,71.77690244,72.02495122,72.26443902,72.49243902,72.70753659,72.91021951,73.1015122,73.28290244,73.45836585,73.63078049,73.80365854,73.97895122,74.15619512,,
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.65360976,57.14521951,57.59934146,58.01346341,58.38258537,58.69717073,58.94717073,59.13558537,59.27092683,59.36568293,59.43890244,59.51014634,59.59892683,59.72080488,59.8887561,60.11078049,60.39182927,60.71936585,61.07934146,61.4602439,61.84707317,62.22480488,62.58146341,62.90907317,63.20214634,63.46068293,,
Cape Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.73658537,65.06160976,65.39814634,65.75468293,66.13821951,66.5687561,67.06726829,67.63473171,68.25914634,68.918,69.57380488,70.18004878,70.6987561,71.10792683,71.39853659,71.57558537,71.66004878,71.69141463,71.70668293,71.72839024,71.77453659,71.85417073,71.96282927,72.09653659,72.25431707,72.43517073,,
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.65868293,75.84192683,76.02021951,76.19753659,76.37634146,76.55860976,76.74180488,76.92241463,77.09692683,77.26436585,77.42268293,77.57087805,77.70946341,77.84046341,77.96536585,78.08665854,78.20682927,78.32885366,78.45529268,78.58919512,78.73263415,78.88773171,79.0545122,79.23156098,79.41685366,79.60890244,,
